"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q1",2.54054528361335,
"JPN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q2",2.12289592170912,
"JPN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q3",0.00912654068445842,
"JPN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q4",-7.25941445376598,
"JPN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q1",-3.37236808845425,
"JPN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q2",-33.3208461060304,
"KOR","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q1",-1.35186949363561,
"KOR","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q2",4.11869798544649,
"KOR","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q3",1.51029940759768,
"KOR","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q4",5.35064829372257,
"KOR","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q1",-5.0290800572838,
"KOR","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q2",-14.996605483029,
"USA","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q1",3.09613954623588,
"USA","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q2",2.01381860989409,
"USA","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q3",2.10350658188971,
"USA","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q4",2.12662950408689,
"USA","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q1",-5.04709077182583,
"USA","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q2",-41.3840608012117,
"OECD","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q1",2.58458109197712,
"OECD","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q2",1.64658690698113,
"OECD","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q3",1.61383878342888,
"OECD","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2019-Q4",0.62637009144299,
"OECD","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q1",-7.08620598467273,
"OECD","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q2",-43.1156014512381,
