store_id,total_sales
0,68426.93691005168
1,22108.53111319126
2,16208.571184259014
3,26870.446220005215
4,11752.421018910434
5,10071.72965285991
6,60090.025581761845
7,1858.2855722458228
8,5142.810138433657
9,12311.791023657008
10,15867.985277289708
11,19975.920043894734
12,2326.0789523195226
13,75726.93241590103
14,16509.371964006827
15,30886.925680914504
16,11970.117754120227
17,6196.7324930632385
18,16278.52710410526
19,8457.94597938883
20,33524.42701298429
21,2855.066382116641
22,42393.77518130311
23,74059.70281902477
24,8051.645337167258
25,130.09747786029
26,15406.233733757777
27,22439.252126648877
28,485.1239741452076
29,12195.07295653236
30,30335.67971499019
31,61760.13732252268
32,1863.4667550611484
33,94421.07759789661
34,219321.44179229124
35,4627.5015854088415
36,1291.177115815065
37,35969.12422146149
38,278532.4200224091
39,37601.93794059804
40,145983.56821059904
41,17879.03306607137
42,53233.07922289799
43,91955.07670328033
44,4310.935060003835
45,22632.74457470856
46,29749.259492107245
47,931.9576836721777
48,7475.094903436051
49,10746.150523764089
50,6587.180897689478
51,14339.403440288299
52,13309.090369097305
53,21455.09801968535
54,137922.40070510266
55,67934.99035047385
56,101138.06036354596
57,38271.30035504578
58,15115.182841758065
59,27391.40376777681
60,34923.88914472031
61,42858.387599855654
62,28181.70214991689
63,1629.5599825476938
64,11366.638007437885
65,32817.601031534905
66,13923.404334271672
67,259643.81390635556
68,5913.682849806804
69,6756.961116782728
70,4251.1711483484
71,4836.161534714067
72,23828.087872503886
73,54517.21055122306
74,96000.56447324828
75,5983.927042737829
76,2802.3565119336395
77,171740.1215781959
78,43750.987396519486
79,15328.270424289283
80,651338.883305687
81,18427.962572655415
82,3501.1885314426263
83,29511.489325383194
84,6559.614394759879
85,64287.1753960573
86,41002.27652509066
87,6770.077857886048
88,83014.03786727342
89,7856.565440155658
90,31549.22708408316
91,10503.949679003892
92,10593.339378241857
93,6377.817861026417
94,8311.811502433831
95,1861.4970998768017
96,18623.62798128702
97,4668.476440109136
98,45301.16053519118
99,39243.987309802316
100,12222.381585894535
101,27987.391221018843
102,22062.46524311487
103,2322.253391075477
104,6827.448828290939
105,11184.2701785463
106,66369.44436160405
107,2640.067449460059
108,11278.254175511054
109,27756.44133069885
110,3015.7721029994
111,19594.122606212564
112,15772.962741778258
113,25014.286797214514
114,22823.78147612374
115,23930.314855436452
116,8702.0139983456
117,11354.69980508467
118,25717.673429871185
119,87439.42230714684
120,15135.799893997835
121,49526.746301986095
122,80424.33905476045
123,16461.26915450034
124,24610.027251189553
125,47861.362952352145
126,4704.162582613939
127,12949.974309561418
128,10507.404057303836
129,117664.16198723184
130,1441.874230627905
131,11148.095694120591
132,2799.4629969919124
133,10446.669085715828
134,19192.723157975743
135,1595.7431050163993
136,8458.099461481157
137,54768.355508758395
138,5046.959739763602
139,50323.232130835444
140,12609.176430948695
141,1918.0208542811679
142,3446.247709205578
143,11095.566443448828
144,5550.84375495536
145,9409.61858985597
146,604.9579022078144
147,31950.23952757701
148,241772.87471517338
149,66968.45642632869
150,10885.707620223804
151,21410.14823586462
152,65326.37650255798
153,654631.9870326293
154,28404.355191219205
155,54466.16349562735
156,24974.793328075582
157,1725.9414776388658
158,20263.006917762483
159,22330.738769396063
160,22797.89971290718
161,19264.337393094418
162,1621.386560623479
163,37748.892765824494
164,12136.865040759178
165,12177.230432711298
166,12036.001436254215
167,13348.326837835328
168,10384.63302347551
169,75828.75595730293
170,14406.978232311136
171,7741.626754591379
172,10444.815861734238
173,11059.65103879539
174,63474.73929805233
175,3968.8396219775777
176,3989.1142722554277
177,29261.91759623765
178,2204.873706087662
179,10144.231042801424
180,18235.330527838134
181,1578.9149249293919
182,34689.8410752212
183,5032.483486072559
184,85035.63304423659
185,5891.977795933617
186,52579.32175713893
187,289.364011511572
188,24379.290391214738
189,9968.390392673904
190,15684.14859245245
191,26842.55208755169
192,67706.59265069517
193,9013.787308868239
194,30941.04189724211
195,31237.92357449213
196,31494.208335039682
197,57.92156217953795
198,1061.7875768615038
199,18906.142306355046
